Designator,Mid X,Mid Y,Rotation,Layer
J1,10.0,-11.0,0.0,top
J2,10.0,-17.0,0.0,top
J3,10.0,-23.0,0.0,top
J4,10.0,-29.0,0.0,top
J5,10.0,-35.0,0.0,top
J6,10.0,-41.0,0.0,top
J7,5.0,-4.0,0.0,top
